category;code;name;pieces;product description;manuf.price
Air Balloons;CMTPZ1072;The Graf Zeppelin;1000 pieces;;18.915
Artists;CMTPZ1015;Cafe Terrace at Night - Van Gogh;1000 pieces;;18.060
Artists;CMTPZ1068;The Creation Of Man;1000 pieces;;18.429
Artists;CMTPZ1076;The Luncheon of the Boating Party;1500 pieces;;24.300
Astrology;CMTPZ1096;Zodiac;6000 pieces;;73.386
Big cats;CMTPZ1001;Alphabet Jungle;250 pieces;Extra Large Pieces;11.547
Big cats;CMTPZ1004;Aztec Forest;4000 pieces;;53.946
Big cats;CMTPZ1005;Aztec Queen;1000 pieces;;18.429
Big cats;CMTPZ1009;Bengala Park;1000 pieces;;18.760
Big cats;CMTPZ1032;Indian Princesses;1500 pieces;;24.300
Big cats;CMTPZ1033;Kilimanjaro;1000 pieces;;18.060
Big cats;CMTPZ1038;Lair of the Snow Leopard;1000 pieces;Glow in the Dark;23.309
Big cats;CMTPZ1084;Tigers;1000 pieces;Panoramic Puzzle;18.993
Big cats;CMTPZ1090;Wild Tiger;1000 pieces;;18.371
Birds;CMTPZ1017;Cats in the Moonlight;1000 pieces;;17.146
Birds;CMTPZ1024;Flamingo's;1000 pieces;;24.689
Birds;CMTPZ1031;Humming Bird;1000 pieces;;18.993
Birds;CMTPZ1034;Kitty and the Bear;1000 pieces;;18.429
Birds;CMTPZ1046;Lost in a Silvery Land;1000 pieces;;18.993
Birds;CMTPZ1094;Yellow Birds;1000 pieces;;18.993
Botticelli;CMTPZ1010;Birth of Venus;1000 pieces;;18.060
Canada;CMTPZ1050;Moraine Lake Canada;1500 pieces;;24.300
Caribbean;CMTPZ1027;Garda, Italy;1000 pieces;;18.429
Caribbean;CMTPZ1066;The Coliseum, Rome;1000 pieces;;18.060
Castles;CMTPZ1051;Neuschwanstein Castle;1000 pieces;;18.429
Childrens;CMTPZ1002;Animal Friends 101 Dalmatians;60 pieces;;9.487
Childrens;CMTPZ1036;Lady and the Tramp Romantic Night;60 pieces;;9.487
Childrens;CMTPZ1043;Little Mermaid;250 pieces;The meeting;11.392
Childrens;CMTPZ1044;Little Mermaid - II Concert;Kids 51-100 pieces;;11.392
Childrens;CMTPZ1045;Little Mermaid Love Dream;60 pieces;;9.487
Childrens;CMTPZ1055;Peter Pan;100 pieces;;11.392
Childrens;CMTPZ1056;Peter Pan in Neverland 150 piece puzzle;Kids 101-150 pieces;;11.392
